Source,Target,Type
16,329,Undirected
16,330,Undirected
16,331,Undirected
16,334,Undirected
16,357,Undirected
16,367,Undirected
16,371,Undirected
16,374,Undirected
16,492,Undirected
16,376,Undirected
16,383,Undirected
16,385,Undirected
16,397,Undirected
16,402,Undirected
16,404,Undirected
16,406,Undirected
16,459,Undirected
16,418,Undirected
16,420,Undirected
16,431,Undirected
16,433,Undirected
16,443,Undirected
16,453,Undirected
16,457,Undirected
16,460,Undirected
16,462,Undirected
16,468,Undirected
16,470,Undirected
16,473,Undirected
17,333,Undirected
17,344,Undirected
17,426,Undirected
17,427,Undirected
17,429,Undirected
17,476,Undirected
17,467,Undirected
18,20,Undirected
18,70,Undirected
18,122,Undirected
18,258,Undirected
18,299,Undirected
20,1,Undirected
20,4,Undirected
20,6,Undirected
20,8,Undirected
20,12,Undirected
20,18,Undirected
20,110,Undirected
20,34,Undirected
20,40,Undirected
20,42,Undirected
20,43,Undirected
20,62,Undirected
20,63,Undirected
20,66,Undirected
20,69,Undirected
20,70,Undirected
20,72,Undirected
20,76,Undirected
20,86,Undirected
20,105,Undirected
20,107,Undirected
20,109,Undirected
20,112,Undirected
20,115,Undirected
20,122,Undirected
20,125,Undirected
20,136,Undirected
20,154,Undirected
20,175,Undirected
20,177,Undirected
20,180,Undirected
20,181,Undirected
20,182,Undirected
20,184,Undirected
20,193,Undirected
20,194,Undirected
20,197,Undirected
20,202,Undirected
20,212,Undirected
20,223,Undirected
20,225,Undirected
20,228,Undirected
20,233,Undirected
20,249,Undirected
20,258,Undirected
20,263,Undirected
20,267,Undirected
20,275,Undirected
20,290,Undirected
20,299,Undirected
20,303,Undirected
20,483,Undirected
20,324,Undirected
20,328,Undirected
20,350,Undirected
20,405,Undirected
20,417,Undirected
20,421,Undirected
20,438,Undirected
21,4,Undirected
21,6,Undirected
21,23,Undirected
21,24,Undirected
21,29,Undirected
21,38,Undirected
21,42,Undirected
21,43,Undirected
21,62,Undirected
21,63,Undirected
21,66,Undirected
21,70,Undirected
21,82,Undirected
21,76,Undirected
21,77,Undirected
21,82,Undirected
21,105,Undirected
21,112,Undirected
21,115,Undirected
21,131,Undirected
21,135,Undirected
21,174,Undirected
21,179,Undirected
21,180,Undirected
21,181,Undirected
21,182,Undirected
21,187,Undirected
21,197,Undirected
21,225,Undirected
21,235,Undirected
21,249,Undirected
21,258,Undirected
21,260,Undirected
21,275,Undirected
21,324,Undirected
21,332,Undirected
21,340,Undirected
21,348,Undirected
21,356,Undirected
21,397,Undirected
21,402,Undirected
21,405,Undirected
21,409,Undirected
21,417,Undirected
21,433,Undirected
21,438,Undirected
21,459,Undirected
21,474,Undirected
21,486,Undirected
22,110,Undirected
22,44,Undirected
22,66,Undirected
22,70,Undirected
22,72,Undirected
22,89,Undirected
22,125,Undirected
22,181,Undirected
22,182,Undirected
22,193,Undirected
22,483,Undirected
22,417,Undirected
23,1,Undirected
23,397,Undirected
23,4,Undirected
23,5,Undirected
23,7,Undirected
23,8,Undirected
23,16,Undirected
23,21,Undirected
23,24,Undirected
23,29,Undirected
23,34,Undirected
23,38,Undirected
23,50,Undirected
23,57,Undirected
23,59,Undirected
23,60,Undirected
23,62,Undirected
23,63,Undirected
23,70,Undirected
23,76,Undirected
23,81,Undirected
23,87,Undirected
23,91,Undirected
23,103,Undirected
23,105,Undirected
23,110,Undirected
23,114,Undirected
23,115,Undirected
23,116,Undirected
23,119,Undirected
23,123,Undirected
23,128,Undirected
23,131,Undirected
23,134,Undirected
23,135,Undirected
23,138,Undirected
23,141,Undirected
23,146,Undirected
23,150,Undirected
23,151,Undirected
23,157,Undirected
23,165,Undirected
23,166,Undirected
23,173,Undirected
23,174,Undirected
23,175,Undirected
23,179,Undirected
23,180,Undirected
23,181,Undirected
23,183,Undirected
23,184,Undirected
23,187,Undirected
23,189,Undirected
23,197,Undirected
23,198,Undirected
23,200,Undirected
23,205,Undirected
23,225,Undirected
23,234,Undirected
23,235,Undirected
23,244,Undirected
23,249,Undirected
23,251,Undirected
23,258,Undirected
23,264,Undirected
23,270,Undirected
23,277,Undirected
23,278,Undirected
23,288,Undirected
23,292,Undirected
23,312,Undirected
23,314,Undirected
23,321,Undirected
23,322,Undirected
23,323,Undirected
23,324,Undirected
23,325,Undirected
23,330,Undirected
23,331,Undirected
23,334,Undirected
23,337,Undirected
23,340,Undirected
23,348,Undirected
23,349,Undirected
23,356,Undirected
23,362,Undirected
23,397,Undirected
23,367,Undirected
23,371,Undirected
23,372,Undirected
23,376,Undirected
23,377,Undirected
23,378,Undirected
23,383,Undirected
23,391,Undirected
23,394,Undirected
23,398,Undirected
23,402,Undirected
23,404,Undirected
23,405,Undirected
23,406,Undirected
23,417,Undirected
23,418,Undirected
23,419,Undirected
23,421,Undirected
23,431,Undirected
23,433,Undirected
23,435,Undirected
23,436,Undirected
23,438,Undirected
23,439,Undirected
23,440,Undirected
23,443,Undirected
23,452,Undirected
23,453,Undirected
23,457,Undirected
23,459,Undirected
23,466,Undirected
23,470,Undirected
23,474,Undirected
23,476,Undirected
23,479,Undirected
23,490,Undirected
23,492,Undirected
23,494,Undirected
24,7,Undirected
24,8,Undirected
24,11,Undirected
24,16,Undirected
24,21,Undirected
24,23,Undirected
24,30,Undirected
24,38,Undirected
24,62,Undirected
24,70,Undirected
24,77,Undirected
24,92,Undirected
24,99,Undirected
24,103,Undirected
24,110,Undirected
24,113,Undirected
24,115,Undirected
24,128,Undirected
24,129,Undirected
24,131,Undirected
24,134,Undirected
24,138,Undirected
24,141,Undirected
24,146,Undirected
24,150,Undirected
24,151,Undirected
24,157,Undirected
24,166,Undirected
24,174,Undirected
24,175,Undirected
24,181,Undirected
24,184,Undirected
24,187,Undirected
24,198,Undirected
24,216,Undirected
24,224,Undirected
24,234,Undirected
24,235,Undirected
24,242,Undirected
24,249,Undirected
24,258,Undirected
24,262,Undirected
24,270,Undirected
24,278,Undirected
24,311,Undirected
24,312,Undirected
24,314,Undirected
24,315,Undirected
24,319,Undirected
24,325,Undirected
24,331,Undirected
24,348,Undirected
24,349,Undirected
24,356,Undirected
24,397,Undirected
24,367,Undirected
24,371,Undirected
24,374,Undirected
24,376,Undirected
24,383,Undirected
24,392,Undirected
24,402,Undirected
24,404,Undirected
24,405,Undirected
24,417,Undirected
24,418,Undirected
24,431,Undirected
24,433,Undirected
24,438,Undirected
24,439,Undirected
24,492,Undirected
25,50,Undirected
25,81,Undirected
25,91,Undirected
25,114,Undirected
25,155,Undirected
25,160,Undirected
25,165,Undirected
25,178,Undirected
25,205,Undirected
25,207,Undirected
25,214,Undirected
25,251,Undirected
25,260,Undirected
25,382,Undirected
25,270,Undirected
25,288,Undirected
25,292,Undirected
25,312,Undirected
25,340,Undirected
25,357,Undirected
25,362,Undirected
25,371,Undirected
25,372,Undirected
25,377,Undirected
25,386,Undirected
25,395,Undirected
25,398,Undirected
25,431,Undirected
25,439,Undirected
25,440,Undirected
25,444,Undirected
25,447,Undirected
25,459,Undirected
25,466,Undirected
25,476,Undirected
25,490,Undirected
25,491,Undirected
26,63,Undirected
26,135,Undirected
26,160,Undirected
26,187,Undirected
26,322,Undirected
26,330,Undirected
26,340,Undirected
26,435,Undirected
26,474,Undirected
26,492,Undirected
27,53,Undirected
27,114,Undirected
27,130,Undirected
27,155,Undirected
27,174,Undirected
27,203,Undirected
27,207,Undirected
27,249,Undirected
27,277,Undirected
27,311,Undirected
27,371,Undirected
27,372,Undirected
27,378,Undirected
27,396,Undirected
27,436,Undirected
27,459,Undirected
27,466,Undirected
28,4,Undirected
28,5,Undirected
28,6,Undirected
28,43,Undirected
28,44,Undirected
28,45,Undirected
28,63,Undirected
28,82,Undirected
28,82,Undirected
28,105,Undirected
28,115,Undirected
28,182,Undirected
28,198,Undirected
28,225,Undirected
28,249,Undirected
28,345,Undirected
28,486,Undirected
28,492,Undirected
29,21,Undirected
29,23,Undirected
29,110,Undirected
29,34,Undirected
29,57,Undirected
29,60,Undirected
29,62,Undirected
29,63,Undirected
29,97,Undirected
29,112,Undirected
29,113,Undirected
29,115,Undirected
29,124,Undirected
29,135,Undirected
29,150,Undirected
29,170,Undirected
29,178,Undirected
29,179,Undirected
29,181,Undirected
29,189,Undirected
29,197,Undirected
29,205,Undirected
29,214,Undirected
29,235,Undirected
29,242,Undirected
29,249,Undirected
29,254,Undirected
29,270,Undirected
29,278,Undirected
29,292,Undirected
29,322,Undirected
29,330,Undirected
29,335,Undirected
29,340,Undirected
29,348,Undirected
29,377,Undirected
29,378,Undirected
29,417,Undirected
29,421,Undirected
29,431,Undirected
29,440,Undirected
29,457,Undirected
29,459,Undirected
29,466,Undirected
29,474,Undirected
29,492,Undirected
30,16,Undirected
30,24,Undirected
30,70,Undirected
30,92,Undirected
30,110,Undirected
30,123,Undirected
30,129,Undirected
30,134,Undirected
30,151,Undirected
30,166,Undirected
30,174,Undirected
30,208,Undirected
30,234,Undirected
30,244,Undirected
30,270,Undirected
30,276,Undirected
30,292,Undirected
30,306,Undirected
30,314,Undirected
30,319,Undirected
30,325,Undirected
30,331,Undirected
30,343,Undirected
30,367,Undirected
30,371,Undirected
30,374,Undirected
30,383,Undirected
30,397,Undirected
30,406,Undirected
30,431,Undirected
30,433,Undirected
30,443,Undirected
30,468,Undirected
30,469,Undirected
30,482,Undirected
110,4,Undirected
110,6,Undirected
110,20,Undirected
110,22,Undirected
110,29,Undirected
110,34,Undirected
110,38,Undirected
110,43,Undirected
110,44,Undirected
110,45,Undirected
110,54,Undirected
110,62,Undirected
110,63,Undirected
110,70,Undirected
110,72,Undirected
110,89,Undirected
110,103,Undirected
110,105,Undirected
110,109,Undirected
110,110,Undirected
110,112,Undirected
110,115,Undirected
110,134,Undirected
110,140,Undirected
110,153,Undirected
110,180,Undirected
110,181,Undirected
110,182,Undirected
110,192,Undirected
110,197,Undirected
110,198,Undirected
110,202,Undirected
110,235,Undirected
110,241,Undirected
110,249,Undirected
110,275,Undirected
110,297,Undirected
110,303,Undirected
110,324,Undirected
110,492,Undirected
110,391,Undirected
110,416,Undirected
110,417,Undirected
110,492,Undirected
32,80,Undirected
33,103,Undirected
33,135,Undirected
33,165,Undirected
33,205,Undirected
33,249,Undirected
33,419,Undirected
34,1,Undirected
34,8,Undirected
34,16,Undirected
34,20,Undirected
34,23,Undirected
34,29,Undirected
34,110,Undirected
34,42,Undirected
34,62,Undirected
34,70,Undirected
34,76,Undirected
34,103,Undirected
34,109,Undirected
34,115,Undirected
34,123,Undirected
34,134,Undirected
34,135,Undirected
34,141,Undirected
34,151,Undirected
34,157,Undirected
34,166,Undirected
34,174,Undirected
34,175,Undirected
34,179,Undirected
34,180,Undirected
34,181,Undirected
34,185,Undirected
34,189,Undirected
34,197,Undirected
34,198,Undirected
34,235,Undirected
34,249,Undirected
34,270,Undirected
34,297,Undirected
34,321,Undirected
34,331,Undirected
34,335,Undirected
34,348,Undirected
34,391,Undirected
34,459,Undirected
34,417,Undirected
34,421,Undirected
34,431,Undirected
34,433,Undirected
34,457,Undirected
34,492,Undirected
35,16,Undirected
35,36,Undirected
35,92,Undirected
35,129,Undirected
35,282,Undirected
35,292,Undirected
35,314,Undirected
35,367,Undirected
35,371,Undirected
35,385,Undirected
35,397,Undirected
35,443,Undirected
35,482,Undirected
36,16,Undirected
36,35,Undirected
36,88,Undirected
36,92,Undirected
36,129,Undirected
36,166,Undirected
36,208,Undirected
36,257,Undirected
36,282,Undirected
36,319,Undirected
36,331,Undirected
36,367,Undirected
36,397,Undirected
36,406,Undirected
37,100,Undirected
37,103,Undirected
37,138,Undirected
37,197,Undirected
37,231,Undirected
37,254,Undirected
37,270,Undirected
37,348,Undirected
37,419,Undirected
37,431,Undirected
37,492,Undirected
38,4,Undirected
38,21,Undirected
38,23,Undirected
38,24,Undirected
38,110,Undirected
38,55,Undirected
38,62,Undirected
38,70,Undirected
38,87,Undirected
38,105,Undirected
38,115,Undirected
38,135,Undirected
38,140,Undirected
38,181,Undirected
38,187,Undirected
38,189,Undirected
38,198,Undirected
38,417,Undirected
38,474,Undirected
38,492,Undirected
39,1,Undirected
39,4,Undirected
39,62,Undirected
39,70,Undirected
39,103,Undirected
39,110,Undirected
39,146,Undirected
39,175,Undirected
39,181,Undirected
39,197,Undirected
39,235,Undirected
39,249,Undirected
39,271,Undirected
39,324,Undirected
39,417,Undirected
40,20,Undirected
40,77,Undirected
40,102,Undirected
40,113,Undirected
40,114,Undirected
40,130,Undirected
40,137,Undirected
40,155,Undirected
40,182,Undirected
40,197,Undirected
40,207,Undirected
40,228,Undirected
40,242,Undirected
40,249,Undirected
40,258,Undirected
40,275,Undirected
40,277,Undirected
40,280,Undirected
40,312,Undirected
40,315,Undirected
40,324,Undirected
40,330,Undirected
40,349,Undirected
40,398,Undirected
40,405,Undirected
40,492,Undirected
40,419,Undirected
40,439,Undirected
40,459,Undirected
40,485,Undirected
41,1,Undirected
41,8,Undirected
41,16,Undirected
41,72,Undirected
41,91,Undirected
41,103,Undirected
41,110,Undirected
41,113,Undirected
41,128,Undirected
41,134,Undirected
41,138,Undirected
41,154,Undirected
41,174,Undirected
41,175,Undirected
41,183,Undirected
41,196,Undirected
41,197,Undirected
41,198,Undirected
41,233,Undirected
41,249,Undirected
41,252,Undirected
41,357,Undirected
41,371,Undirected
41,377,Undirected
41,418,Undirected
41,431,Undirected
41,436,Undirected
41,450,Undirected
41,457,Undirected
42,1,Undirected
42,4,Undirected
42,6,Undirected
42,8,Undirected
42,20,Undirected
42,21,Undirected
42,34,Undirected
42,43,Undirected
42,58,Undirected
42,62,Undirected
42,63,Undirected
42,66,Undirected
42,76,Undirected
42,86,Undirected
42,95,Undirected
42,109,Undirected
42,115,Undirected
42,146,Undirected
42,154,Undirected
42,175,Undirected
42,177,Undirected
42,179,Undirected
42,180,Undirected
42,181,Undirected
42,182,Undirected
42,188,Undirected
42,197,Undirected
42,202,Undirected
42,225,Undirected
42,241,Undirected
42,245,Undirected
42,249,Undirected
42,275,Undirected
42,299,Undirected
42,303,Undirected
42,321,Undirected
42,324,Undirected
42,346,Undirected
42,390,Undirected
42,405,Undirected
42,417,Undirected
42,421,Undirected
42,438,Undirected
42,478,Undirected
42,479,Undirected
43,1,Undirected
43,5,Undirected
43,6,Undirected
43,20,Undirected
43,21,Undirected
43,28,Undirected
43,110,Undirected
43,42,Undirected
43,44,Undirected
43,54,Undirected
43,63,Undirected
43,66,Undirected
43,69,Undirected
43,70,Undirected
43,72,Undirected
43,82,Undirected
43,76,Undirected
43,82,Undirected
43,89,Undirected
43,105,Undirected
43,107,Undirected
43,112,Undirected
43,115,Undirected
43,122,Undirected
43,125,Undirected
43,136,Undirected
43,177,Undirected
43,180,Undirected
43,182,Undirected
43,194,Undirected
43,197,Undirected
43,198,Undirected
43,212,Undirected
43,223,Undirected
43,225,Undirected
43,241,Undirected
43,249,Undirected
43,258,Undirected
43,285,Undirected
43,290,Undirected
43,313,Undirected
43,324,Undirected
43,402,Undirected
43,405,Undirected
44,6,Undirected
44,22,Undirected
44,28,Undirected
44,110,Undirected
44,43,Undirected
44,54,Undirected
44,89,Undirected
44,105,Undirected
44,115,Undirected
44,125,Undirected
44,130,Undirected
44,140,Undirected
44,161,Undirected
44,172,Undirected
44,182,Undirected
44,194,Undirected
44,202,Undirected
44,212,Undirected
44,249,Undirected
44,271,Undirected
44,273,Undirected
44,290,Undirected
44,349,Undirected
45,4,Undirected
45,28,Undirected
45,110,Undirected
45,54,Undirected
45,62,Undirected
45,63,Undirected
45,89,Undirected
45,103,Undirected
45,115,Undirected
45,130,Undirected
45,135,Undirected
45,140,Undirected
45,182,Undirected
45,192,Undirected
45,197,Undirected
45,198,Undirected
45,203,Undirected
45,235,Undirected
45,238,Undirected
45,249,Undirected
45,254,Undirected
45,273,Undirected
45,324,Undirected
45,417,Undirected
45,479,Undirected
45,492,Undirected
46,65,Undirected
46,103,Undirected
46,110,Undirected
46,113,Undirected
46,130,Undirected
46,140,Undirected
46,165,Undirected
46,189,Undirected
46,192,Undirected
46,242,Undirected
46,249,Undirected
46,252,Undirected
46,254,Undirected
46,349,Undirected
46,419,Undirected
48,54,Undirected
48,142,Undirected
50,397,Undirected
50,23,Undirected
50,25,Undirected
50,57,Undirected
50,81,Undirected
50,86,Undirected
50,87,Undirected
50,91,Undirected
50,95,Undirected
50,109,Undirected
50,116,Undirected
50,124,Undirected
50,128,Undirected
50,135,Undirected
50,138,Undirected
50,147,Undirected
50,160,Undirected
50,165,Undirected
50,174,Undirected
50,175,Undirected
50,178,Undirected
50,179,Undirected
50,181,Undirected
50,196,Undirected
50,197,Undirected
50,205,Undirected
50,214,Undirected
50,235,Undirected
50,245,Undirected
50,249,Undirected
50,251,Undirected
50,260,Undirected
50,264,Undirected
50,267,Undirected
50,277,Undirected
50,278,Undirected
50,288,Undirected
50,292,Undirected
50,303,Undirected
50,312,Undirected
50,322,Undirected
50,323,Undirected
50,329,Undirected
50,330,Undirected
50,334,Undirected
50,340,Undirected
50,348,Undirected
50,362,Undirected
50,397,Undirected
50,371,Undirected
50,376,Undirected
50,377,Undirected
50,378,Undirected
50,390,Undirected
50,394,Undirected
50,395,Undirected
50,398,Undirected
50,405,Undirected
50,417,Undirected
50,418,Undirected
50,419,Undirected
50,421,Undirected
50,425,Undirected
50,431,Undirected
50,436,Undirected
50,438,Undirected
50,439,Undirected
50,440,Undirected
50,444,Undirected
50,447,Undirected
50,452,Undirected
50,457,Undirected
50,459,Undirected
50,466,Undirected
50,470,Undirected
50,474,Undirected
50,476,Undirected
50,479,Undirected
50,484,Undirected
50,486,Undirected
50,490,Undirected
51,188,Undirected
51,461,Undirected
51,479,Undirected
51,489,Undirected
52,10,Undirected
52,84,Undirected
52,103,Undirected
52,116,Undirected
52,178,Undirected
52,214,Undirected
52,249,Undirected
52,340,Undirected
52,348,Undirected
52,397,Undirected
52,398,Undirected
52,419,Undirected
52,435,Undirected
52,440,Undirected
52,459,Undirected
53,27,Undirected
54,4,Undirected
54,5,Undirected
54,6,Undirected
54,110,Undirected
54,43,Undirected
54,44,Undirected
54,45,Undirected
54,48,Undirected
54,63,Undirected
54,67,Undirected
54,68,Undirected
54,75,Undirected
54,83,Undirected
54,89,Undirected
54,90,Undirected
54,105,Undirected
54,115,Undirected
54,130,Undirected
54,140,Undirected
54,142,Undirected
54,161,Undirected
54,172,Undirected
54,182,Undirected
54,192,Undirected
54,197,Undirected
54,198,Undirected
54,273,Undirected
54,290,Undirected
54,320,Undirected
54,349,Undirected
54,353,Undirected
54,369,Undirected
54,389,Undirected
54,476,Undirected
54,402,Undirected
54,405,Undirected
55,38,Undirected
55,171,Undirected
55,240,Undirected
55,249,Undirected
55,349,Undirected
57,23,Undirected
57,29,Undirected
57,50,Undirected
57,103,Undirected
57,114,Undirected
57,116,Undirected
57,119,Undirected
57,138,Undirected
57,147,Undirected
57,157,Undirected
57,160,Undirected
57,173,Undirected
57,178,Undirected
57,179,Undirected
57,181,Undirected
57,196,Undirected
57,214,Undirected
57,235,Undirected
