"title","channel","url","type","linked_to","transcription","likes","comments","views","published_at"
"NÃO TEM POBREZA QUE RESISTA A 14 HORAS DE TRABALHO (Escala 6X1)","reflexões transcendentais","https://www.youtube.com/watch?v=AhjS7rTw62o","Principal","ESPOSA DE DEYVERSON OPINA SOBRE ESCALA 6X1: ‘SERÁ QUE A CULPA É DO SEU CHEFE?’ // CEROL DAR SUA OPINIÃO SOBRE A ESCALA 6X1 // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // ","transcriptions.txt","41134","1345","428515","2024-11-14"
"Argumentos contra o fim da escala 6x1 repetem falas já usadas","Instituto Conhecimento Liberta","https://www.youtube.com/watch?v=uyINElnnV3Q","Principal","Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24) // 6x1: entenda o projeto que pede o fim da escala 6x1 | Leonardo Sakamoto // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // Debates acalorados na Camara sobre a escala 6x1 // Pressão pelo fim da escala 6x1 faz número de deputados a favor crescerem // Escala 6x1: debate sobre jornada de trabalho movimenta Congresso e redes sociais // Cortella e Alexandre Schwartsman analisam manifestações pelo fim da escala 6x1 // PROJETO DE FIM DA ESCALA 6X1 É IMPULSIONADO PELAS REDES SOCIAIS E PRESSIONA CONGRESSO NACIONAL // Eduardo Moreira: É fundamental abraçar a luta pelo fim da escala 6x1 de trabalho // Debate sobre escala 6X1 reorganizou a classe trabalhadora, diz autora da PEC | CNN 360º // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // FIM DA ESCALA 6X1 FUNCIONARIA NO BRASIL? // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // Fim da escala 6x1 virou tema &#39;incontornável&#39; no Congresso após pressão da sociedade, diz Boulos // O FIM DA JORNADA 6x1... TUDO O QUE VOCÊ PRECISA SABER! // PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News // Campos Neto volta a fazer críticas à PEC contra escala 6x1: “Vai contra reforma que foi feita” // Jussara Soares: PEC que determina fim da escala 6x1 pressiona direita e surpreende governo | CNN 360 // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Fim da escala 6x1 é promover justiça aos trabalhadores, defende senador Rogério Carvalho // PEC do fim da escala 6x1 é uma farsa // Senador Cleitinho (PL-MG) discursa em apoio a PEC do fim da escala 6x1 | O POVO NEWS // Entrevista: Nikolas Ferreira e a escala 6x1 // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // FIM DA ESCALA 6X1: ENTENDA A PROPOSTA ABSURDA QUE PODE DESTRUIR O BRASIL! // TREZOITAO É A FAVOR DA ESCALA 6X1? // Luiz Philippe explica por que é contra o fim da escala 6x1 // Escala 6x1 em discussão na Câmara: Como a esquerda vai desempregar ainda mais brasileiros. // Cleitinho confronta aliados e quer Fim da Escala 6x1- Nikolas Ferreira rebate críticas // Marco Feliciano é contra o fim da escala 6x1 // Escala 6x1 tem que acabar, os piores argumentos. // EDUARDO BOLSONARO É DETONADO PELOS PRÓPRIOS ELEITORES, FIM DA ESCALA 6X1 - EMBOLADA // ","transcriptions.txt","1919","52","9535","2024-11-15"
"Por que a proposta do fim da escala 6x1 é a 4x3?","Parabólica","https://www.youtube.com/watch?v=mJf1zscsMzM","Principal","Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA // ESCALA 6x1: especialistas analisam proporção popular da discussão no Brasil // O Fim da Escala 6 X 1 // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // FIM DA ESCALA DE TRABALHO 6x1: o que está sendo proposto? Como começou o movimento? ESTADÃO EXPLICA // Fim da Escala 6x1 e 44h Vai Destruir Algumas Empresas, Odeio 6x1, mas entenda que.... // Erika Hilton espera ter apoio do governo para fim da escala 6x1 | LINHA DE FRENTE // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // O FIM DA ESCALA 6X1 EXPLICADO // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // ESCALA 6x1: A ROTINA QUE DESTRÓI MILHÕES de BRASILEIROS (Vídeo Irrefutável) // PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News // A ESCALA 6x1 VAI ACABAR? | PAUTA QUENTE // 🟡🔵 TRABALHO ESCALA 6x1. FEZ UM ESTRAGO NA MINHA VIDA // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // O que é a PEC da escala 6x1 // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // O fim da Escala 6x1: Como essa mudança afeta Pequenos Empresários e Trabalhadores // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // Escala 6x1: A Escravidão dos Tempos Modernos! // ESCALA 6X1: A VERDADE QUE NINGÉM TE CONTA // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // Fiz uma comparação da escala 6X1 do trabalhador com a do político. // DESABAFO DA ESCALA 6X1 // ESCALA 6X1: COMO É TRABALHAR NO SUPERMERCADO // 2 passos para TANKAR e SAIR da ESCALA 6x1 // Nikolas Ferreira expõe verdade por trás do Fim da Escala 6x1 de Erika Hilton do Psol // Escala 6x1 em discussão na Câmara: Como a esquerda vai desempregar ainda mais brasileiros. // Cleitinho confronta aliados e quer Fim da Escala 6x1- Nikolas Ferreira rebate críticas // Como sair da escala 6x1 e começar no Youtube (sem passar fome) // Marco Feliciano é contra o fim da escala 6x1 // Escala 6x1 tem que acabar, os piores argumentos. // DESABAFO ESCALA 6X1: A REALIDADE DOS TRABALHADORES BRASILEIROS! | REACT. Luideverso // DEU ERRADO! Vexame escancarado sobre o fim da escala 6x1 // ","transcriptions.txt","3132","456","28016","2024-11-12"
"Manifestações pelo fim da escala 6x1 são realizados em capitais | Primeiro Impacto (15/11/24)","SBT News","https://www.youtube.com/watch?v=FUCnPzcvHoc","Principal","Como ACABAR com a ESCALA 6x1 de forma RESPONSÁVEL? // PROJETO DE FIM DA ESCALA 6X1 É IMPULSIONADO PELAS REDES SOCIAIS E PRESSIONA CONGRESSO NACIONAL // PÂNICO DISCUTE A VERDADE SOBRE A POLÊMICA ESCALA 6X1 E ANALISA TUDO! // Debate sobre escala 6X1 reorganizou a classe trabalhadora, diz autora da PEC | CNN 360º // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // FIM DA ESCALA 6X1 ! // Senador Cleitinho (PL-MG) discursa em apoio a PEC do fim da escala 6x1 | O POVO NEWS // Entrevista: Nikolas Ferreira e a escala 6x1 // ","transcriptions.txt","2238","1320","48785","2024-11-15"
"FELIPE NETO TEVE SALÁRIO DOS FUNCIONÁRIOS VAZADOS APÓS DISCUTIR SOBRE ESCALA 6x1","Maicon Küster News [OFICIAL]","https://www.youtube.com/watch?v=U5fGwbGV7PE","Principal","","transcriptions.txt","16100","1371","226770","2024-11-12"
"Sheila Magalhães reage a possível fim da escala 6x1: &quot;Tendência nas grandes economias&quot;","Rádio BandNews FM","https://www.youtube.com/watch?v=rR0Jm_cpmTA","Principal","Eduardo Moreira: É fundamental abraçar a luta pelo fim da escala 6x1 de trabalho // FIM DA ESCALA 6X1: EMPRESÁRIOS ABREM O JOGO SOBRE O FUTURO DA ECONOMIA | BRASIL À BEIRA DO COLAPSO? // Proibir a escala 6x1: estão te enganando! // ","transcriptions.txt","842","444","20802","2024-11-12"
"Bilynskyj critica PEC da escala 6x1 de Erika Hilton","Portal Uai","https://www.youtube.com/watch?v=TmEt_ydIdl8","Principal","","transcriptions.txt","1273","1124","34371","2024-11-12"
"PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News","SBT News","https://www.youtube.com/watch?v=_JHo4ms0WVE","Principal","Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA // Fim da escala 6x1: projeto domina redes sociais e pressiona deputados | SBT Brasil (11/11/24) // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // Proposta de fim da escala 6x1 de trabalho causa mobilização nas redes sociais // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // Fala de Erika Hilton sobre escala 6x1 de Junho de 2024 viraliza após popularidade da PEC // Como o fim da escala 6x1 pode impactar o mercado de trabalho // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // Erika Hilton espera ter apoio do governo para fim da escala 6x1 | LINHA DE FRENTE // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // A QUEDA DA ESCALA 6x1: LEO PICON vs ERIKA HILTON? (Precisamos falar sobre o Brasil) // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // Escala 6x1: Erika Hilton fala ao vivo sobre PEC que reduz a jornada de trabalho; acompanhe // Fim da escala 6x1 virou tema &#39;incontornável&#39; no Congresso após pressão da sociedade, diz Boulos // Escala 6x1 e os impactos na vida do trabalhador brasileiro | Papo Rápido | GNT // Fim da escala 6x1 resultará na troca de pessoas por máquinas, diz deputado do Novo // Argumentos contra o fim da escala 6x1 repetem falas já usadas // Por que a proposta do fim da escala 6x1 é a 4x3? // A ESCALA 6x1 VAI ACABAR? | PAUTA QUENTE // FIM DA ESCALA 6x1: Any Ortiz explica sua posição sobre PEC | Timeline // A PEC do fim da ESCALA 6X1 vai ARRUINAR sua vida // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // PEC do fim da escala 6x1 atinge assinaturas necessárias para tramitar // O que é a PEC da escala 6x1 // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // PELO FIM DA ESCALA 6X1 // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // COMO O FIM DA ESCALA 6X1 PODE IMPACTAR EMPRESAS E TRABALHADORES? #FN // O FIM DA ESCALA 6X1 (ninguém quer trabalhar😢) // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // Escala 6x1 - O Jovem quer SABER!!! // PEC do fim da escala 6x1 é uma farsa // Senador Cleitinho (PL-MG) discursa em apoio a PEC do fim da escala 6x1 | O POVO NEWS // NANDO MOURA CONTRA A ESCALA 6X1 // ENTENDA A POLÊMICA SOBRE A PROPOSTA DO FIM DA ESCALA 6X1 // O POVO FALA: FIM DA ESCALA 6X1, QUAL A OPINIÃO DO TRABALHADOR? // Fim da escala 6x1 e a jornada de trabalho // Fim da escala 6x1: Entenda projeto apresentado por Erika Hilton que agita redes sociais |O POVO NEWS // FIM DA ESCALA 6x1: por que esse tipo de trabalho tem que acabar? // Afinal, o que é a Escala 6x1 ? #noticias #direitotrabalho #escala6x1 #6x1 #pec  #direitotrabalhador // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // Relatora afirma que impactos negativos da escala 6x1 não foram calculados // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // 2 passos para TANKAR e SAIR da ESCALA 6x1 // Fim da escala 6x1 e o Deputado Marco Feliciano // Marco Feliciano é contra o fim da escala 6x1 // VOCÊ É CONTRA A ESCALA 6x1? 🤔 #shorts #short #escala6x1 #escala6x1não #6x1 #clt  #trabalho #viral // É o fim da escala 6x1? // Escala 6x1 tem que acabar, os piores argumentos. // Fim da escala 6x1! Trabalhadores unidos! // Escala 6x1 ESCRAVIDÃO moderna! (Jovem fuja disso) // FIM DA ESCALA 6X1 #6x1 #escala6x1 #clt // FIM DA ESCALA 6x1 // ","transcriptions.txt","2693","932","56993","2024-11-11"
"DEUS É CONTRA A ESCALA 6x1? OS 10 MANDAMENTOS PROÍBEM?","Dois Dedos de Teologia","https://www.youtube.com/watch?v=_8uc7lxkZP0","Principal","REFUTANDO QUEM É CONTRA O FIM DA ESCALA 6X1 | FÁCIL DEMAIS // Fim da escala 6x1: você é a favor ou contra? 👷🏽⏰ #trabalho #profissão #dinheiro #negócios #shorts // URGENTE: FIM DA ESCALA 6X1 EXPLICADO ENTENDA DE UMA VEZ POR TODAS // URGENTE: A Escala 6x1 vai acabar? // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Escala 6x1: Redução de jornada é tendência, mas, por meio de lei, eleva informalidade, diz Landim // FIM DA ESCALA 6X1: Katia começa a trabalhar no Supermercado e já se mete em confusão: CLT // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // JAMAIS TRABALHE NA ESCALA 6x1 // Humanizei a Escala 6x1 #shorts // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // PEC do fim da escala 6x1 é uma farsa // O DESABAFO DE UM TRABALHADOR ESCALA 6X1 // Escala 6x1: eu sou contra! // ESCALA 6X1 NÃO É VIDA! PRECISAMOS FALAR SOBRE ISSO // Escala 6x1: A Escravidão dos Tempos Modernos! // ESCALA 6X1: A VERDADE QUE NINGÉM TE CONTA // FIM DA ESCALA 6x1: por que esse tipo de trabalho tem que acabar? // tem como fazer a ESCALA 6X1 ser MENOS PIOR? // FIM DA ESCALA 6X1: ENTENDA A PROPOSTA ABSURDA QUE PODE DESTRUIR O BRASIL! // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // Essa escala 6x1 eu não aguento mais #shorts #drama // CEROL DAR SUA OPINIÃO SOBRE A ESCALA 6X1 // ESCALA 6X1: COMO É TRABALHAR NO SUPERMERCADO // A escala 6x1 vai continuar e não haverá mudanças // Escala 6x1: Por Que Não Tenho Escolha // A Escala 6x1 não é sua Verdadeira Inimiga // VOCÊ É CONTRA A ESCALA 6x1? 🤔 #shorts #short #escala6x1 #escala6x1não #6x1 #clt  #trabalho #viral // Estou revoltado! com essa escala 6x1 (O início de tudo) // É o fim da escala 6x1? // Escala 6x1 #shorts  #camaçari #6x1 #Escala6x1 // Escala 6x1 tem que acabar, os piores argumentos. // Escala 6x1 voce concorda? #6x1 #escala5x2 #clt #trabalho // Escala 6x1 ESCRAVIDÃO moderna! (Jovem fuja disso) // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // Escala 6x1 part2 // Desabafo de um jovem trabalhador na escala 6x1 // Cerol fala sobre a Escala 6x1 Deve ou não deve acabar ? #cerol #escala #6x1 #clt // ","transcriptions.txt","3832","585","43236","2024-11-12"
"Ministro sobre escala 6X1: É importante que as pessoas possam ter lazer | BASTIDORES CNN","CNN Brasil","https://www.youtube.com/watch?v=6oV2zsWkFy0","Principal","Empresário: Como o fim da escala 6x1, negócios vão fechar | CNN 360° // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Fim da escala 6x1 // ","transcriptions.txt","578","260","16212","2024-11-11"
"O fim da escala 6x1 e as mudanças no mundo do trabalho | Prof. Raphael Reis","Prof. Raphael Reis | O Mago da Redação","https://www.youtube.com/watch?v=PBs-46HQucE","Principal","Escala 6x1: PEC pelo fim da jornada de trabalho 6x1 chega a 134 assinaturas; são necessárias 171 // NACIONALISTA RUBÃO PEDE O FIM DA ESCALA 6X1 // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // FIM DA ESCALA 6X1 ! // pec do fim da escala 6x1: será que funciona? // ","transcriptions.txt","301","21","1925","2024-11-16"
"🚨ALERTA: FIM DA ESCALA 6x1 COLOCARÁ EM XEQUE OS EMPREGOS NO BRASIL?","Josué Aragão","https://www.youtube.com/watch?v=HB7DokHX634","Principal","6x1: entenda o projeto que pede o fim da escala 6x1 | Leonardo Sakamoto // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // Fim da escala 6x1 é &#39;bastante prejudicial&#39; ao trabalhador, diz presidente do Banco Central // Como o fim da escala 6x1 pode impactar o mercado de trabalho // O FIM da Escala 6X1 Não é uma Discussão Econômica, Marxistas no Mercado Financeiro - JK Cast #204 // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // NEGARAM O FIM DA ESCALA 6X1!!? #clt #meme #memes #engraçado // ESSA É A VERDADE SOBRE O FIM DA ESCALA 6X1 // Escala 6x1: uma nova era de avaliação no trabalho ou risco à Justiça Trabalhista? // A ESCALA 6X1 VAI ACABAR? // Entenda a PEC que propõe o fim da escala 6x1 // Jussara Soares: PEC que determina fim da escala 6x1 pressiona direita e surpreende governo | CNN 360 // Alexandre Garcia: PEC que acaba com escala de trabalho 6x1 é burra // Fim da escala 6x1: Entenda como funciona o modelo atual e o que PEC pode mudar // FIM DA ESCALA 6X1: EMPRESÁRIOS ABREM O JOGO SOBRE O FUTURO DA ECONOMIA | BRASIL À BEIRA DO COLAPSO? // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6X1 ! // NANDO MOURA CONTRA A ESCALA 6X1 // O fim da escala 6x1 é uma oportunidade política única (e o governo tá vacilando) // Será o fim da escala 6x1? O que muda? A bolsa vai acabar? - com Ben Zruel // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // TREZOITAO É A FAVOR DA ESCALA 6X1? // ","transcriptions.txt","12899","2456","97749","2024-11-12"
"A ESCALA 6x1 VAI ACABAR? | PAUTA QUENTE","Manual do Homem Moderno","https://www.youtube.com/watch?v=fxxye1ulY2k","Principal","O Fim da Escala 6 X 1 // Se o fim da escala 6x1 for aprovado a bolsa acaba? É o fim? // O Fim da Escala 6x1 vai Quebrar a Economia do Brasil // a TRUE por trás da escala 6x1 // FIM DA ESCALA DE TRABALHO 6x1: o que está sendo proposto? Como começou o movimento? ESTADÃO EXPLICA // A escala 6x1 vai acabar? Por que o assunto ganhou os holofotes // URGENTE: A Escala 6x1 vai acabar? // Especialista em Direito do Trabalho explica consequências do fim da escala 6x1 // Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // TRABALHADOR EXAUSTO FAZ DESABAFO SOBRE ESCALA 6X1 // ESCALA 6x1: A ROTINA QUE DESTRÓI MILHÕES de BRASILEIROS (Vídeo Irrefutável) // Escala 6x1 e os impactos na vida do trabalhador brasileiro | Papo Rápido | GNT // Por que a proposta do fim da escala 6x1 é a 4x3? // PEC da escala 6x1: Deputada Erika Hilton explica proposta em entrevista exclusiva | SBT News // A PEC do fim da ESCALA 6X1 vai ARRUINAR sua vida // 🟡🔵 TRABALHO ESCALA 6x1. FEZ UM ESTRAGO NA MINHA VIDA // ESCALA 6X1 Saiba o que já está em vigor! // FIM DA ESCALA 6X1: ENTENDA A DISCUSSÃO! // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // PEC pelo fim da escala 6x1 atinge assinaturas e já pode tramitar no Congresso // Quer ARRUINAR a sua vida? Trabalhe na ESCALA 6X1 // ESCALA 6X1 e fim do concurso de CARREIRA! Concurso CLT agora! // PAULO KOGOS TENTA EXPLICAR PORQUE É A FAVOR DA ESCALA 6X1 | Galãs Feios // Se o fim da ESCALA 6x1 for aprovado a BOLSA acaba? É o fim? // NANDO MOURA CONTRA A ESCALA 6X1 // Escala 6x1: A Escravidão dos Tempos Modernos! // ESCALA 6X1: A VERDADE QUE NINGÉM TE CONTA // A ESCALA 6x1 TEM QUE ACABAR - MURILO REAGE (Cortes da Live do Suco de Brasil) // NATHAN M.B.C. MANDA A REAL SOBRE A ESCALA DE TRABALHO 6X1 (VAT: MOVIMENTO VIDA ALÉM DO TRABALHO) // FIM DA ESCALA 6x1: por que esse tipo de trabalho tem que acabar? // Fiz uma comparação da escala 6X1 do trabalhador com a do político. // 5 RISCOS da ESCALA 6x1 | DANDO O FURO // DESABAFO DA ESCALA 6X1 // ESCALA 6X1: COMO É TRABALHAR NO SUPERMERCADO // ZEUS REAGE: A ESCALA 6X1 VAI ACABAR COM A BOLSA // 2 passos para TANKAR e SAIR da ESCALA 6x1 // FIM DA ESCALA 6x1 // Marco Feliciano é contra o fim da escala 6x1 // VOCÊ É CONTRA A ESCALA 6x1? 🤔 #shorts #short #escala6x1 #escala6x1não #6x1 #clt  #trabalho #viral // TRABALHAR NA ESCALA 6X1 VAI ARRUINAR SUA VIDA? (1 DE 2) - REACT @mbcnate // É o fim da escala 6x1? // Escala 6x1 tem que acabar, os piores argumentos. // DESABAFO ESCALA 6X1: A REALIDADE DOS TRABALHADORES BRASILEIROS! | REACT. Luideverso // Escala 6x1 voce concorda? #6x1 #escala5x2 #clt #trabalho // Fim da escala 6x1! Trabalhadores unidos! // FIM DA ESCALA 6X1 #6x1 #escala6x1 #clt // Escala 6X1 #direito #escala6x1 #6x1 #bolsonaro #lula #direita #esquerda #trabalho #trabalhadores // 6X1 - A ESCALA DE TRABALHO DO INFERNO // Fim da escala 6x1 #escala6x1 // Fim da escala 6x1 // ","transcriptions.txt","12032","1908","122893","2024-03-15"
"ECONOMISTA CALCULA QUANTO O FIM DA ESCALA 6X1 PODE CUSTAR AOS EMPRESÁRIOS","Itatiaia","https://www.youtube.com/watch?v=6NmpOvRn5vI","Principal","FIM DA ESCALA 6x1 PODE DESTRUIR A ECONOMIA BRASILEIRA // O POVO FALA: FIM DA ESCALA 6X1, QUAL A OPINIÃO DO TRABALHADOR? // O fim da escala 6x1 é uma oportunidade política única (e o governo tá vacilando) // O FIM DA ESCALA 6X1 É UMA UTOPIA NO BRASIL! // ","transcriptions.txt","1256","668","44750","2024-11-13"
"A VERDADE SOBRE A ESCALA 6x1","Fala Glauber Podcast","https://www.youtube.com/watch?v=Yi1No0A_-O8","Principal","Redução da jornada de trabalho: PEC que acaba com a escala 6X1 está em debate // FIM DA ESCALA 6X1:  É POSSÍVEL DAR MAIS FOLGA PARA O TRABALHADOR?  | PALAVRA ABERTA // KIM KATAGUIRI SE POSICIONA CONTRA PROJETO QUE ACABA COM A ESCALA 6x1 DE TRABALHO // NEGARAM O FIM DA ESCALA 6X1!!? #clt #meme #memes #engraçado // Escala 6x1 e os impactos na vida do trabalhador brasileiro | Papo Rápido | GNT // Feliciano sobre Escala 6x1: &quot;Nos EUA, todos trabalham até a exaustão pra ver prosperidade e riqueza&quot; // DEPUTADOS QUE TRABALHAM 3X POR SEMANA ESTÃO CONTRA O FIM DA ESCALA 6x1 // ESCALA 6X1: PEC QUE QUER REDUZIR JORNADA DE TRABALHO CONSEGUE ASSINATURAS PARA SER PROTOCOLADO // PEC do Fim da Escala 6x1: O Que Muda para os Trabalhadores? // Escala 6x1 em Debate: Famosos como Leo Picon, Jade, Luana Piovani e Gil do Vigor opinam sobre a PEC // tentando SER FELIZ mesmo na ESCALA 6X1! #curiosidades #trabalho // FIM DA ESCALA 6X1: ENTENDA A PROPOSTA ABSURDA QUE PODE DESTRUIR O BRASIL! // Marco Feliciano é contra o fim da escala 6x1 // É o fim da escala 6x1? // ","transcriptions.txt","8219","1788","126222","2024-11-15"
"Proposta do fim da escala 6x1 recebe apoio popular","Portal Uai","https://www.youtube.com/watch?v=Hy-fyrOEtgs","Principal","Entenda o que propõe a PEC do fim da escala 6x1 | CNN NOVO DIA // FIM DA ESCALA 6X1: ENTENDA COMO FUNCIONA O MODELO ATUAL E O QUE PODE MUDAR! // Fim da escala de 6x1: PEC tem mais de 130 assinaturas | CNN NOVO DIA // Fim da escala 6x1? Veja o que pode mudar na jornada de trabalho // Vida Além do Trabalho: fim da escala 6x1 começou com debate da Constituição | Carlos Juliano Barros // NEGARAM O FIM DA ESCALA 6X1!!? #clt #meme #memes #engraçado // PEC do fim da escala 6x1: Manifestações de apoio devem acontecer em 6 capitais | O POVO NEWS // PEC do fim da escala 6x1 atinge assinaturas necessárias para tramitar // Escala 6x1: PEC deve ter as assinaturas suficientes nesta semana, diz deputada Erika Hilton // PEC da escala 6x1: Nikolas Ferreira diz que proposta é &quot;terrivelmente elaborado&quot; l O POVO NEWS // 🔥Escala 6x1 escancara perversidade da direita🔥Nikolas é massacrado🔥Luana Piovani e famosos postam🔥 // Fim da escala 6x1: Proposta se aproxima de 150 assinaturas | O POVO NEWS // PEC que prevê fim da escala 6x1 ainda precisa de assinaturas e agita a Câmara dos Deputados // PEC do fim da escala 6x1 é uma farsa // FIM DA ESCALA 6X1 ! // ESCALA 6x1: INTERNET VIRALIZA VÍDEO DE FELICIANO E MONARK QUE PARECE COISA DO SÉCULO 19 | Cortes 247 // O que não te contaram sobre o FIM DA ESCALA 6x1 // ","transcriptions.txt","172","48","6890","2024-11-11"
